X,Y,Z,RX,RY,RZ
72.144,483.397,448.464,179.616,-0.567,45.217
72.144,483.397,448.464,179.616,-0.567,45.217
72.144,483.397,448.464,179.616,-0.567,45.217
72.144,483.397,448.464,179.616,-0.567,45.217
72.144,483.397,448.464,179.616,-0.567,45.217
72.143,483.398,448.464,179.616,-0.567,45.217
72.143,483.398,448.464,179.616,-0.567,45.217
72.107,483.409,448.487,179.616,-0.567,45.216
72.107,483.409,448.487,179.616,-0.567,45.216
72.023,483.434,448.541,179.616,-0.567,45.214
72.023,483.434,448.541,179.616,-0.567,45.214
71.762,483.509,448.702,179.615,-0.565,45.211
71.762,483.509,448.702,179.615,-0.565,45.211
71.475,483.602,448.892,179.616,-0.565,45.209
71.475,483.602,448.892,179.616,-0.565,45.209
70.819,483.808,449.303,179.618,-0.565,45.201
70.819,483.808,449.303,179.618,-0.565,45.201
70.21,483.999,449.687,179.62,-0.564,45.195
70.21,483.999,449.687,179.62,-0.564,45.195
69.029,484.38,450.463,179.624,-0.565,45.185
69.029,484.38,450.463,179.624,-0.565,45.185
67.399,484.874,451.496,179.626,-0.563,45.171
67.399,484.874,451.496,179.626,-0.563,45.171
66.073,485.27,452.324,179.629,-0.562,45.162
66.073,485.27,452.324,179.629,-0.562,45.162
66.073,485.27,452.324,179.629,-0.562,45.162
63.69,485.934,453.75,179.632,-0.555,45.146
63.69,485.934,453.75,179.632,-0.555,45.146
61.887,486.468,454.909,179.638,-0.557,45.136
61.887,486.468,454.909,179.638,-0.557,45.136
58.761,487.313,456.792,179.643,-0.553,45.119
58.761,487.313,456.792,179.643,-0.553,45.119
56.452,487.946,458.201,179.651,-0.556,45.12
56.452,487.946,458.201,179.651,-0.556,45.12
56.452,487.946,458.201,179.651,-0.556,45.12
52.696,488.931,460.559,179.659,-0.554,45.091
52.696,488.931,460.559,179.659,-0.554,45.091
52.696,488.931,460.559,179.659,-0.554,45.091
49.894,489.629,462.265,179.665,-0.553,45.08
49.894,489.629,462.265,179.665,-0.553,45.08
45.253,490.721,465.07,179.674,-0.548,45.059
45.253,490.721,465.07,179.674,-0.548,45.059
40.138,491.834,468.051,179.684,-0.543,45.06
40.138,491.834,468.051,179.684,-0.543,45.06
40.138,491.834,468.051,179.684,-0.543,45.06
36.551,492.597,470.289,179.691,-0.539,45.029
36.551,492.597,470.289,179.691,-0.539,45.029
30.687,493.705,473.69,179.698,-0.53,45.024
30.687,493.705,473.69,179.698,-0.53,45.024
24.53,494.826,477.479,179.709,-0.526,44.982
24.53,494.826,477.479,179.709,-0.526,44.982
20.064,495.567,480.139,179.719,-0.526,44.976
20.064,495.567,480.139,179.719,-0.526,44.976
12.901,496.616,484.371,179.733,-0.519,44.957
12.901,496.616,484.371,179.733,-0.519,44.957
7.958,497.244,487.282,179.739,-0.511,44.937
7.958,497.244,487.282,179.739,-0.511,44.937
0.018,498.131,491.867,179.755,-0.505,44.942
0.018,498.131,491.867,179.755,-0.505,44.942
-5.51,498.672,495.226,179.765,-0.501,44.906
-5.51,498.672,495.226,179.765,-0.501,44.906
-14.284,499.288,500.212,179.776,-0.489,44.909
-14.284,499.288,500.212,179.776,-0.489,44.909
-20.289,499.621,503.743,179.787,-0.484,44.897
-20.289,499.621,503.743,179.787,-0.484,44.897
-29.601,499.948,509.299,179.801,-0.471,44.855
-29.601,499.948,509.299,179.801,-0.471,44.855
-36.286,500.011,513.045,179.809,-0.463,44.866
-36.286,500.011,513.045,179.809,-0.463,44.866
-45.95,499.937,518.839,179.826,-0.451,44.82
-45.95,499.937,518.839,179.826,-0.451,44.82
-55.927,499.581,524.542,179.845,-0.442,44.838
-62.534,499.226,528.512,179.859,-0.436,44.811
-72.325,498.44,534.039,179.874,-0.422,44.835
-72.325,498.44,534.039,179.874,-0.422,44.835
-81.53,497.472,539.521,179.883,-0.405,44.801
-81.53,497.472,539.521,179.883,-0.405,44.801
-90.609,496.307,544.779,179.897,-0.393,44.806
-90.609,496.307,544.779,179.897,-0.393,44.806
-96.316,495.457,548.099,179.905,-0.385,44.808
-96.316,495.457,548.099,179.905,-0.385,44.808
-114.714,492.085,558.768,179.923,-0.355,44.837
-114.714,492.085,558.768,179.923,-0.355,44.837
-114.714,492.085,558.768,179.923,-0.355,44.837
-119.667,491.028,561.621,179.929,-0.349,44.871
-119.667,491.028,561.621,179.929,-0.349,44.871
-126.979,489.289,565.682,179.925,-0.332,44.952
