X,Y,Z,RX,RY,RZ
72.142,483.396,448.463,179.616,-0.567,45.217
72.099,483.419,448.484,179.616,-0.564,45.216
71.976,483.482,448.565,179.618,-0.557,45.215
71.781,483.574,448.726,179.62,-0.551,45.213
71.512,483.697,448.966,179.621,-0.544,45.212
71.169,483.85,449.285,179.623,-0.538,45.21
70.754,484.032,449.684,179.625,-0.532,45.208
70.264,484.244,450.162,179.627,-0.526,45.206
69.701,484.484,450.72,179.629,-0.52,45.204
69.064,484.753,451.358,179.631,-0.514,45.202
68.352,485.049,452.075,179.633,-0.508,45.2
67.566,485.373,452.872,179.635,-0.502,45.198
66.705,485.723,453.748,179.638,-0.496,45.196
65.769,486.098,454.705,179.64,-0.49,45.193
64.757,486.498,455.742,179.642,-0.484,45.191
63.67,486.922,456.859,179.644,-0.479,45.188
62.506,487.368,458.056,179.647,-0.473,45.186
61.266,487.836,459.333,179.649,-0.467,45.183
59.949,488.325,460.692,179.652,-0.462,45.18
58.554,488.832,462.13,179.654,-0.456,45.178
57.082,489.358,463.65,179.657,-0.451,45.175
55.531,489.9,465.25,179.659,-0.446,45.172
53.902,490.456,466.931,179.662,-0.44,45.169
52.193,491.027,468.694,179.664,-0.435,45.166
50.405,491.608,470.538,179.667,-0.43,45.163
48.537,492.2,472.463,179.669,-0.425,45.16
46.589,492.803,474.463,179.673,-0.421,45.157
44.559,493.409,476.496,179.678,-0.418,45.154
42.446,494.005,478.531,179.682,-0.415,45.151
40.251,494.59,480.567,179.687,-0.413,45.148
37.974,495.163,482.605,179.692,-0.41,45.145
35.613,495.723,484.644,179.697,-0.407,45.142
33.169,496.269,486.684,179.702,-0.405,45.139
30.642,496.799,488.726,179.707,-0.402,45.136
28.032,497.313,490.769,179.712,-0.399,45.133
25.339,497.809,492.814,179.717,-0.397,45.131
22.563,498.287,494.859,179.722,-0.394,45.128
19.703,498.743,496.906,179.727,-0.391,45.125
16.761,499.178,498.954,179.732,-0.389,45.123
13.735,499.589,501.004,179.738,-0.386,45.12
10.626,499.975,503.054,179.743,-0.383,45.117
7.434,500.335,505.105,179.748,-0.38,45.115
4.159,500.668,507.158,179.753,-0.378,45.112
0.801,500.97,509.211,179.758,-0.375,45.11
-2.639,501.242,511.266,179.764,-0.372,45.108
-6.162,501.481,513.321,179.769,-0.369,45.105
-9.766,501.685,515.377,179.774,-0.366,45.103
-13.453,501.854,517.435,179.78,-0.363,45.101
-17.221,501.984,519.493,179.785,-0.36,45.098
-21.07,502.074,521.552,179.79,-0.357,45.096
-25.001,502.123,523.611,179.796,-0.354,45.094
-28.978,502.13,525.672,179.801,-0.351,45.095
-32.962,502.098,527.733,179.806,-0.348,45.103
-36.947,502.025,529.795,179.811,-0.345,45.121
-40.932,501.913,531.858,179.816,-0.341,45.147
-44.917,501.76,533.921,179.821,-0.338,45.183
-48.901,501.568,535.985,179.826,-0.334,45.227
-52.885,501.336,538.049,179.831,-0.331,45.281
-56.866,501.065,540.114,179.835,-0.327,45.343
-60.846,500.753,542.179,179.84,-0.323,45.415
-64.823,500.402,544.245,179.844,-0.319,45.496
-68.798,500.011,546.311,179.848,-0.316,45.586
-72.769,499.581,548.378,179.853,-0.312,45.684
-76.736,499.11,550.445,179.857,-0.307,45.792
-80.699,498.6,552.512,179.861,-0.303,45.909
-84.658,498.051,554.58,179.865,-0.299,46.035
-88.611,497.462,556.648,179.868,-0.295,46.17
-92.559,496.834,558.716,179.872,-0.291,46.314
-96.501,496.166,560.785,179.876,-0.286,46.467
-100.436,495.459,562.853,179.879,-0.282,46.629
-104.365,494.712,564.922,179.883,-0.277,46.8
-108.286,493.926,566.991,179.886,-0.273,46.981
-112.2,493.102,569.06,179.889,-0.268,47.17
-116.105,492.238,571.128,179.892,-0.264,47.368
-120.002,491.335,573.197,179.895,-0.259,47.575
-123.89,490.394,575.266,179.898,-0.254,47.792
-127.768,489.414,577.335,179.901,-0.249,48.017
-131.637,488.395,579.404,179.904,-0.245,48.252
-135.495,487.337,581.473,179.907,-0.24,48.495
-139.342,486.242,583.541,179.91,-0.235,48.748
-143.178,485.108,585.609,179.912,-0.23,49.009
-147.003,483.936,587.678,179.915,-0.225,49.28
-150.815,482.726,589.745,179.917,-0.22,49.559
-154.615,481.478,591.813,179.92,-0.215,49.848
-158.403,480.192,593.88,179.922,-0.21,50.146
-162.176,478.869,595.947,179.924,-0.205,50.453
-165.937,477.508,598.014,179.927,-0.2,50.769
-169.683,476.11,600.08,179.929,-0.195,51.093
-173.414,474.675,602.145,179.931,-0.19,51.427
-177.131,473.203,604.21,179.933,-0.185,51.77
-180.832,471.695,606.275,179.935,-0.18,52.122
-184.517,470.149,608.339,179.937,-0.175,52.483
-188.186,468.568,610.403,179.939,-0.17,52.853
-191.839,466.95,612.466,179.941,-0.164,53.233
-195.475,465.296,614.528,179.943,-0.159,53.621
-199.093,463.606,616.589,179.945,-0.154,54.018
-202.693,461.881,618.65,179.947,-0.149,54.424
-206.275,460.121,620.71,179.948,-0.144,54.84
-209.839,458.325,622.77,179.95,-0.138,55.264
-213.384,456.494,624.828,179.952,-0.133,55.697
-216.909,454.628,626.886,179.954,-0.128,56.14
-220.415,452.728,628.943,179.955,-0.123,56.591
-223.9,450.793,630.999,179.957,-0.118,57.052
-227.365,448.825,633.054,179.959,-0.112,57.521
-230.809,446.822,635.108,179.96,-0.107,58.0
-234.232,444.786,637.161,179.962,-0.102,58.487
-237.633,442.717,639.213,179.964,-0.097,58.984
-241.013,440.614,641.264,179.965,-0.091,59.49
-244.369,438.479,643.314,179.967,-0.086,60.005
-247.704,436.311,645.362,179.968,-0.081,60.528
-251.015,434.11,647.41,179.97,-0.076,61.061
-254.302,431.878,649.456,179.972,-0.07,61.603
-257.566,429.613,651.501,179.973,-0.065,62.154
-260.804,427.314,653.514,179.972,-0.058,62.714
-264.018,424.985,655.455,179.968,-0.05,63.283
-267.214,422.637,657.313,179.964,-0.041,63.861
-270.394,420.271,659.09,179.96,-0.032,64.448
-273.558,417.887,660.786,179.956,-0.024,65.045
-276.705,415.488,662.4,179.953,-0.015,65.65
-279.837,413.072,663.933,179.949,-0.006,66.264
-282.954,410.641,665.384,179.945,0.002,66.887
-286.056,408.196,666.755,179.942,0.011,67.52
-289.144,405.736,668.045,179.938,0.02,68.161
-292.197,403.278,669.253,179.934,0.029,68.808
-295.184,400.846,670.381,179.931,0.038,69.457
-298.087,398.438,671.446,179.929,0.045,70.106
-300.883,396.035,672.487,179.931,0.047,70.755
-303.578,393.646,673.491,179.936,0.044,71.403
-306.198,391.294,674.421,179.942,0.041,72.051
-308.767,388.969,675.27,179.948,0.038,72.701
-311.317,386.649,676.038,179.953,0.034,73.36
-313.86,384.323,676.727,179.959,0.031,74.027
-316.395,381.993,677.335,179.964,0.027,74.703
-318.924,379.658,677.863,179.97,0.024,75.388
-321.445,377.319,678.311,179.975,0.02,76.082
-323.961,374.975,678.679,179.981,0.016,76.786
-326.47,372.628,678.967,179.986,0.012,77.498
-328.973,370.276,679.176,179.991,0.009,78.219
-331.468,367.917,679.304,179.996,0.005,78.949
-333.949,365.544,679.373,179.997,0.004,79.688
-336.411,363.152,679.424,179.997,0.004,80.436
-338.856,360.743,679.475,179.997,0.004,81.194
-341.283,358.318,679.526,179.997,0.004,81.96
-343.693,355.877,679.577,179.998,0.004,82.735
-346.086,353.42,679.628,179.998,0.004,83.519
-348.461,350.947,679.679,179.998,0.004,84.312
-350.819,348.457,679.73,179.998,0.004,85.114
-353.159,345.952,679.781,179.998,0.004,85.926
-355.481,343.431,679.832,179.998,0.004,86.746
-357.785,340.895,679.883,179.998,0.004,87.575
-360.07,338.343,679.933,179.998,0.004,88.413
-362.338,335.775,679.984,179.998,0.004,89.26
-364.587,333.193,680.035,179.998,0.004,90.116
-366.818,330.596,680.086,179.998,0.004,90.982
-369.031,327.983,680.137,179.998,0.004,91.856
-371.225,325.356,680.188,179.998,0.004,92.739
-373.4,322.714,680.238,179.998,0.004,93.631
-375.557,320.058,680.289,179.998,0.004,94.532
-377.694,317.387,680.34,179.999,0.004,95.442
-379.813,314.702,680.39,179.999,0.004,96.362
-381.912,312.003,680.441,179.999,0.004,97.29
-383.992,309.29,680.492,179.999,0.004,98.227
-386.054,306.563,680.543,179.999,0.004,99.173
-388.095,303.823,680.593,179.999,0.004,100.128
-390.117,301.068,680.644,179.999,0.004,101.092
-392.12,298.301,680.694,179.999,0.004,102.066
-394.103,295.52,680.745,179.999,0.004,103.048
-396.067,292.726,680.796,179.999,0.004,104.039
-398.01,289.918,680.846,179.999,0.004,105.039
-399.934,287.098,680.897,179.999,0.004,106.048
-401.838,284.266,680.947,179.999,0.004,107.066
-403.721,281.42,680.998,179.999,0.004,108.094
-405.585,278.562,681.048,179.999,0.004,109.13
-407.428,275.692,681.099,180.0,0.004,110.175
-409.251,272.81,681.149,180.0,0.004,111.229
-411.054,269.916,681.2,180.0,0.004,112.292
-412.836,267.01,681.25,180.0,0.003,113.364
-414.598,264.092,681.301,180.0,0.003,114.446
-416.339,261.162,681.351,180.0,0.003,115.536
-418.059,258.221,681.402,180.0,0.003,116.635
-419.759,255.269,681.452,180.0,0.003,117.743
-421.437,252.305,681.502,-180.0,0.003,118.86
-423.095,249.331,681.553,-180.0,0.003,119.987
-424.732,246.346,681.603,-180.0,0.003,121.122
-426.348,243.35,681.653,-180.0,0.003,122.266
-427.942,240.343,681.704,-180.0,0.003,123.419
-429.516,237.326,681.754,-180.0,0.003,124.581
-431.068,234.299,681.804,-180.0,0.003,125.752
-432.599,231.261,681.855,-180.0,0.003,126.933
-434.108,228.214,681.905,-179.999,0.003,128.122
-435.596,225.157,681.955,-179.999,0.003,129.32
-437.062,222.09,682.005,-179.999,0.003,130.527
-438.507,219.014,682.055,-179.999,0.003,131.743
-439.931,215.928,682.106,-179.999,0.003,132.968
-441.332,212.833,682.156,-179.999,0.003,134.203
-442.712,209.729,682.206,-179.999,0.003,135.446
-444.07,206.616,682.256,-179.999,0.003,136.698
-445.406,203.495,682.306,-179.999,0.003,137.959
-446.72,200.364,682.356,-179.999,0.002,139.229
-448.012,197.226,682.406,-179.999,0.002,140.508
-449.282,194.079,682.457,-179.999,0.002,141.797
-450.53,190.924,682.507,-179.999,0.002,143.091
-451.756,187.761,682.557,-179.999,0.002,144.388
-452.959,184.59,682.607,-179.999,0.002,145.684
-454.141,181.411,682.657,-179.999,0.002,146.98
-455.3,178.225,682.707,-179.999,0.002,148.277
-456.436,175.032,682.757,-179.999,0.002,149.573
-457.551,171.831,682.807,-179.999,0.002,150.87
-458.642,168.624,682.857,-179.999,0.002,152.166
-459.712,165.409,682.907,-179.999,0.002,153.463
-460.759,162.188,682.957,-179.998,0.002,154.759
-461.783,158.96,683.006,-179.998,0.002,156.056
-462.785,155.726,683.056,-179.998,0.002,157.352
-463.764,152.486,683.106,-179.998,0.002,158.649
-464.72,149.239,683.156,-179.998,0.001,159.945
-465.654,145.987,683.206,-179.998,0.001,161.241
-466.564,142.729,683.256,-179.998,0.001,162.538
-467.452,139.465,683.306,-179.998,0.001,163.834
-468.318,136.195,683.355,-179.998,0.001,165.131
-469.16,132.921,683.405,-179.998,0.001,166.427
-469.979,129.641,683.455,-179.998,0.001,167.724
-470.776,126.356,683.505,-179.998,0.001,169.02
-471.55,123.067,683.555,-179.998,0.001,170.317
-472.3,119.773,683.604,-179.998,0.001,171.613
-473.028,116.474,683.654,-179.998,0.001,172.909
-473.732,113.171,683.704,-179.998,0.001,174.206
-474.414,109.864,683.753,-179.998,0.001,175.502
-475.072,106.553,683.803,-179.998,0.001,176.799
-475.707,103.238,683.853,-179.998,0.0,178.095
-476.32,99.919,683.902,-179.998,0.0,179.392
-476.909,96.597,683.952,-179.998,0.0,-179.312
-477.474,93.271,684.002,-179.998,0.0,-178.015
-478.017,89.942,684.051,-179.998,0.0,-176.719
-478.536,86.61,684.101,-179.998,0.0,-175.422
-479.033,83.276,684.15,-179.998,0.0,-174.126
-479.506,79.938,684.2,-179.998,0.0,-172.83
-479.955,76.598,684.249,-179.998,-0.0,-171.533
-480.382,73.256,684.299,-179.998,-0.0,-170.237
-480.785,69.911,684.348,-179.998,-0.0,-168.94
-481.165,66.565,684.398,-179.998,-0.0,-167.644
-481.521,63.216,684.447,-179.998,-0.0,-166.347
-481.855,59.866,684.497,-179.998,-0.0,-165.051
-482.165,56.514,684.546,-179.998,-0.0,-163.754
-482.451,53.16,684.596,-179.998,-0.001,-162.458
-482.715,49.806,684.645,-179.998,-0.001,-161.162
-482.955,46.45,684.695,-179.998,-0.001,-159.865
-483.171,43.093,684.744,-179.998,-0.001,-158.569
-483.365,39.736,684.793,-179.999,-0.001,-157.272
-483.535,36.378,684.843,-179.999,-0.001,-155.976
-483.682,33.019,684.892,-179.999,-0.001,-154.679
-483.805,29.661,684.941,-179.999,-0.001,-153.383
-483.905,26.302,684.991,-179.999,-0.001,-152.086
-483.982,22.943,685.04,-179.999,-0.001,-150.79
-484.035,19.584,685.089,-179.999,-0.001,-149.493
-484.065,16.226,685.138,-179.999,-0.001,-148.197
-484.072,12.868,685.188,-179.999,-0.001,-146.901
-484.056,9.511,685.237,-179.999,-0.001,-145.604
-484.016,6.155,685.286,-179.999,-0.001,-144.308
-483.953,2.8,685.335,-179.999,-0.001,-143.011
-483.866,-0.554,685.384,-179.999,-0.001,-141.715
-483.757,-3.907,685.434,-179.999,-0.002,-140.418
